"","ï..Sector","Sub.group.of.question","research.question","sub.research.question","repeat.var.value","independent.var.value","dependent.var.value","numbers","min","max","dependent.var"
"46","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0.00219540884620221,0.000573563266791996,0.00381725442561243,"hlp_issues_informal_verbal"
"48","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0.00628871142465644,0.000601477096259165,0.0119759457530537,"hlp_issues_informal_verbal"
"50","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.00138829531331081,-0.00013199730543256,0.00290858793205418,"hlp_issues_employer_provided"
"51","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0,0,0,"hlp_issues_employer_provided"
"52","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0,0,0,"hlp_issues_employer_provided"
"54","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.00234056549443146,0.00107003935023122,0.00361109163863171,"hlp_issues_hosted_free"
"55","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0,0,0,"hlp_issues_hosted_free"
"57","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0.00407210908006812,-0.00100704577114589,0.00915126393128213,"hlp_issues_hosted_free"
"58","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0,0,0,"hlp_issues_assistance"
"59","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0,0,0,"hlp_issues_assistance"
"60","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0,0,0,"hlp_issues_assistance"
"62","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0.00158803879005649,0.000582704140972584,0.0025933734391404,"hlp_issues_squatting_no_permission"
"63","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0,0,0,"hlp_issues_squatting_no_permission"
"65","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0.0141868787821468,0.00384488670453956,0.024528870859754,"hlp_issues_squatting_no_permission"
"66","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","LEB","1",0,0,0,"hlp_issues_rent_freeze_reduction"
"67","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","MIG","1",0,0,0,"hlp_issues_rent_freeze_reduction"
"68","HLP","HLP issues","% of HHs reporting HLP issues by type of tenure arrangement","tenure_arrangement","all","PRL","1",0,0,0,"hlp_issues_rent_freeze_reduction"
"70","Education","Acess to school","% of HHs reporting at least one children dropped out of school because of protection related issue","drop_out_reason","all","LEB","1",0.0257266688922569,-0.0176961451938992,0.0691494829784129,"education_dropped_protection_concerns"
"71","Education","Acess to school","% of HHs reporting at least one children dropped out of school because of protection related issue","drop_out_reason","all","MIG","1",0,0,0,"education_dropped_protection_concerns"
"74","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_food","all","LEB","1",0.327976021514024,0.304518290559638,0.351433752468409,"education_difficulty_food_expenses"
"76","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_food","all","MIG","1",0.166283450269,0.0799733851970623,0.252593515340937,"education_difficulty_food_expenses"
"78","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_food","all","PRL","1",0.297105525981176,0.249587499735836,0.344623552226516,"education_difficulty_food_expenses"
"80","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_rent","all","LEB","1",0.151468744026151,0.13316586341745,0.169771624634852,"education_difficulty_rent_expenses"
"82","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_rent","all","MIG","1",0.23591030965176,0.137730520732789,0.334090098570732,"education_difficulty_rent_expenses"
"84","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_rent","all","PRL","1",0.210628172371743,0.167997702454303,0.253258642289183,"education_difficulty_rent_expenses"
"86","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_health","all","LEB","1",0.245558824890775,0.223751937489085,0.267365712292465,"education_difficulty_health_expenses"
"88","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_health","all","MIG","1",0.269798747449226,0.171921683222617,0.367675811675834,"education_difficulty_health_expenses"
"90","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_health","all","PRL","1",0.234714051045438,0.189600974255972,0.279827127834905,"education_difficulty_health_expenses"
"92","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_water","all","LEB","1",0.259256671109995,0.237194967214258,0.281318375005731,"education_difficulty_water_expenses"
"94","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_water","all","MIG","1",0.356145168431634,0.246240240216857,0.46605009664641,"education_difficulty_water_expenses"
"96","Education","Cost and access","% of HHs reporting difficulties to meet with education needs by expenditure profile","per_month_water","all","PRL","1",0.301830762628941,0.252853839867536,0.350807685390347,"education_difficulty_water_expenses"
"98","Health","Acess to health","% of HHS reporting cost-related difficulties preventing to access health","health_barriers","all","LEB","1",0.775347927358067,0.754325566787799,0.796370287928336,"health_barrier_cost_related"
"100","Health","Acess to health","% of HHS reporting cost-related difficulties preventing to access health","health_barriers","all","MIG","1",0.766447777660157,0.675315997147417,0.857579558172897,"health_barrier_cost_related"
"102","Health","Acess to health","% of HHS reporting cost-related difficulties preventing to access health","health_barriers","all","PRL","1",0.793174942107407,0.746951428471267,0.839398455743547,"health_barrier_cost_related"
"104","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access health","health_barriers","all","LEB","1",0.0133213904016642,0.00813452250141048,0.018508258301918,"health_barrier_protection_issues"
"106","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access health","health_barriers","all","MIG","1",0.0260175578975618,-0.0117259585264178,0.0637610743215413,"health_barrier_protection_issues"
"108","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access health","health_barriers","all","PRL","1",0.0214880720908758,0.00944655575838538,0.0335295884233662,"health_barrier_protection_issues"
"110","Health","Access to health","% of HHS reporting cost-related difficulties preventing to access medicine","medicine_barriers","all","LEB","1",0.755027434531952,0.741749722068224,0.76830514699568,"health_medicine_barrier_cost_related"
"112","Health","Access to health","% of HHS reporting cost-related difficulties preventing to access medicine","medicine_barriers","all","MIG","1",0.424485252183399,0.384698196443796,0.464272307923001,"health_medicine_barrier_cost_related"
"114","Health","Access to health","% of HHS reporting cost-related difficulties preventing to access medicine","medicine_barriers","all","PRL","1",0.7488914888197,0.716362295237441,0.781420682401958,"health_medicine_barrier_cost_related"
"116","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access vaccine","vaccine_barriers","all","LEB","1",0.00414133503050402,-0.000290158946387338,0.00857282900739537,"health_vaccine_barrier_protection_issues"
"118","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access vaccine","vaccine_barriers","all","MIG","1",0.0103101225129369,-0.00195402177424116,0.0225742668001149,"health_vaccine_barrier_protection_issues"
"119","Health","Access to health","% of HHS reporting protection-related difficulties preventing to access vaccine","vaccine_barriers","all","PRL","1",0,0,0,"health_vaccine_barrier_protection_issues"
"121","WASH","Quality of sanitation facility","% of HHs reporting adequate sanitation facility","gender_segregated","all","LEB","1",0.138020912183258,0.0831117263331465,0.19293009803337,"wash_adequate_sanitation"
"123","WASH","Quality of sanitation facility","% of HHs reporting adequate sanitation facility","gender_segregated","all","MIG","1",0.46206868620795,0.365825371939643,0.558312000476258,"wash_adequate_sanitation"
"125","WASH","Quality of sanitation facility","% of HHs reporting adequate sanitation facility","gender_segregated","all","PRL","1",0.122222082437481,-0.00789134469725018,0.252335509572213,"wash_adequate_sanitation"
"127","WASH","Access to water","% of HHs reporting severe coping strategies to acces water","water_coping","all","LEB","1",0.252545395769901,0.222652038679263,0.282438752860539,"wash_severe_coping_strategies"
"129","WASH","Access to water","% of HHs reporting severe coping strategies to acces water","water_coping","all","MIG","1",0.10177026835529,0.0350206827647465,0.168519853945834,"wash_severe_coping_strategies"
"131","WASH","Access to water","% of HHs reporting severe coping strategies to acces water","water_coping","all","PRL","1",0.284651991010263,0.216411490855814,0.352892491164712,"wash_severe_coping_strategies"
"133","WASH","Access to water","% of HHs reporting access to sufficient water of good quality","sufficient_water_drinking","all","LEB","1",0.770416654310451,0.757073261661246,0.783760046959657,"wash_sufficient_improved_water"
"135","WASH","Access to water","% of HHs reporting access to sufficient water of good quality","sufficient_water_drinking","all","MIG","1",0.872660219748581,0.847358486119827,0.897961953377335,"wash_sufficient_improved_water"
"137","WASH","Access to water","% of HHs reporting access to sufficient water of good quality","sufficient_water_drinking","all","PRL","1",0.787500846472618,0.75927462440275,0.815727068542486,"wash_sufficient_improved_water"
"139","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.614076017287633,0.598791865141785,0.629360169433482,"hygiene_coping.rely_less_preferred"
"141","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.434218764964584,0.393776324020837,0.474661205908331,"hygiene_coping.rely_less_preferred"
"143","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.623982503944477,0.588390239415983,0.65957476847297,"hygiene_coping.rely_less_preferred"
"145","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.0867318704681979,0.0780610506834965,0.0954026902528992,"hygiene_coping.rely_substitutes"
"147","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.0838439217585006,0.061642761563355,0.106045081953646,"hygiene_coping.rely_substitutes"
"149","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.0509278461059393,0.0369991962567459,0.0648564959551326,"hygiene_coping.rely_substitutes"
"151","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.0416903681695136,0.0353677253789643,0.0480130109600629,"hygiene_coping.buy_nfi_diff_place"
"153","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.0210424080758492,0.0119671970248603,0.0301176191268381,"hygiene_coping.buy_nfi_diff_place"
"155","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.0251977792168842,0.0140944602606142,0.0363010981731542,"hygiene_coping.buy_nfi_diff_place"
"157","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.00265885838216532,0.00129621384075197,0.00402150292357866,"hygiene_coping.buy_nfi_dangerous_place"
"159","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.000439081769240442,-0.000283908508869528,0.00116207204735041,"hygiene_coping.buy_nfi_dangerous_place"
"161","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.00504861028552424,0.00114805078011547,0.00894916979093301,"hygiene_coping.buy_nfi_dangerous_place"
"163","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.0150690922073665,0.0114235774858137,0.0187146069289193,"hygiene_coping.borrow_nfi"
"165","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.0149971098305538,0.00744359017639234,0.0225506294847153,"hygiene_coping.borrow_nfi"
"167","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.0208327636849682,0.00962313847286807,0.0320423888970683,"hygiene_coping.borrow_nfi"
"169","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","LEB","1",0.0101492968568594,0.007177543643658,0.0131210500700608,"hygiene_coping.spend_other_money"
"171","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","MIG","1",0.00393497749931797,-0.00184808001328463,0.00971803501192056,"hygiene_coping.spend_other_money"
"173","WASH","Hygiene","% of HHs engaging in the following coping mechanisms for hygiene items","hygiene_coping","all","PRL","1",0.00543798615380529,0.000274029333879312,0.0106019429737313,"hygiene_coping.spend_other_money"
"175","Protection","Documentation","% of HHs reporting lacking work permit for the principal wage earner, without all members of the family with a valid ID","possess_id","all","LEB","1",0.477092230050143,0.461650292944946,0.49253416715534,"protection_lack_work_permit"
"177","Protection","Documentation","% of HHs reporting lacking work permit for the principal wage earner, without all members of the family with a valid ID","possess_id","all","MIG","1",0.715123989019735,0.679573007513687,0.750674970525782,"protection_lack_work_permit"
"179","Protection","Documentation","% of HHs reporting lacking work permit for the principal wage earner, without all members of the family with a valid ID","possess_id","all","PRL","1",0.319612782817651,0.285632086166179,0.353593479469122,"protection_lack_work_permit"
"180","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","LEB","Little to no hunger in the household (0-1)",0.851667096058734,0.840379045268958,0.86295514684851,"hunger_category"
"181","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","LEB","Moderate hunger in the household (2-3)",0.128028368417535,0.117574126454639,0.13848261038043,"hunger_category"
"182","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","LEB","Severe hunger in the household (4-6)",0.0203045355237316,0.0153284214694295,0.0252806495780337,"hunger_category"
"183","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","MIG","Little to no hunger in the household (0-1)",0.883167722732397,0.857434347759192,0.908901097705603,"hunger_category"
"184","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","MIG","Moderate hunger in the household (2-3)",0.101619661634015,0.0769631684577544,0.126276154810275,"hunger_category"
"185","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","MIG","Severe hunger in the household (4-6)",0.0152126156335879,0.0069723543174238,0.023452876949752,"hunger_category"
"186","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","PRL","Little to no hunger in the household (0-1)",0.79248505197791,0.763942972735307,0.821027131220514,"hunger_category"
"187","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","PRL","Moderate hunger in the household (2-3)",0.184501706513593,0.157263244827105,0.211740168200081,"hunger_category"
"188","Nutrition","Access to food","% of HH reporting hunger due to lack of food","hhs_no_food","all","PRL","Severe hunger in the household (4-6)",0.0230132415084969,0.0125963697336478,0.0334301132833459,"hunger_category"
"189","Nutrition","Access to food","% of HH per category of food consumption score","","all","LEB","Acceptable",0.557945281376425,0.54250807045287,0.573382492299981,"fcs_category"
"190","Nutrition","Access to food","% of HH per category of food consumption score","","all","LEB","Borderline",0.260463875556919,0.246898360415995,0.274029390697843,"fcs_category"
"191","Nutrition","Access to food","% of HH per category of food consumption score","","all","LEB","Poor",0.181590843066656,0.169164687102279,0.194016999031032,"fcs_category"
"192","Nutrition","Access to food","% of HH per category of food consumption score","","all","MIG","Acceptable",0.526693133359591,0.486155677553205,0.567230589165976,"fcs_category"
"193","Nutrition","Access to food","% of HH per category of food consumption score","","all","MIG","Borderline",0.237496096368158,0.203934267029877,0.271057925706439,"fcs_category"
"194","Nutrition","Access to food","% of HH per category of food consumption score","","all","MIG","Poor",0.235810770272252,0.204959476949414,0.266662063595089,"fcs_category"
"195","Nutrition","Access to food","% of HH per category of food consumption score","","all","PRL","Acceptable",0.478154004345529,0.441328130914855,0.514979877776202,"fcs_category"
"196","Nutrition","Access to food","% of HH per category of food consumption score","","all","PRL","Borderline",0.319857387935747,0.286076327484409,0.353638448387084,"fcs_category"
"197","Nutrition","Access to food","% of HH per category of food consumption score","","all","PRL","Poor",0.201988607718724,0.174044565221468,0.229932650215981,"fcs_category"
